"event_cohort_name1","event_cohort_name2","event_cohort_name3","event_cohort_name4","freq"
"galantamine",NA,NA,NA,4555
"donepezil",NA,NA,NA,25315
"memantine",NA,NA,NA,8949
"rivastigmine",NA,NA,NA,4275
"donepezil","donepezil+memantine",NA,NA,3096
"rivastigmine","galantamine+rivastigmine",NA,NA,58
"donepezil","donepezil+rivastigmine",NA,NA,646
"donepezil","donepezil+galantamine",NA,NA,556
"rivastigmine","memantine+rivastigmine",NA,NA,407
"galantamine","donepezil+galantamine",NA,NA,234
"galantamine+memantine",NA,NA,NA,45
"donepezil+galantamine",NA,NA,NA,87
"rivastigmine","donepezil+rivastigmine",NA,NA,199
"galantamine","galantamine+rivastigmine","galantamine+memantine+rivastigmine",NA,39
"donepezil","donepezil+galantamine","donepezil+galantamine+memantine","donepezil+galantamine+memantine+rivastigmine",5
"galantamine","galantamine+memantine",NA,NA,448
"memantine","donepezil+memantine",NA,NA,128
"donepezil","donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,138
"donepezil","donepezil+galantamine","donepezil+galantamine+memantine",NA,127
"donepezil+rivastigmine",NA,NA,NA,78
"galantamine","donepezil+galantamine","donepezil+galantamine+memantine",NA,30
"galantamine","galantamine+rivastigmine",NA,NA,114
"memantine","memantine+rivastigmine",NA,NA,89
"donepezil+memantine",NA,NA,NA,234
"donepezil","donepezil+memantine","donepezil+memantine+rivastigmine",NA,31
"donepezil+galantamine","donepezil+galantamine+memantine",NA,NA,19
"galantamine","donepezil+galantamine","donepezil+galantamine+rivastigmine",NA,19
"donepezil","donepezil+galantamine","donepezil+galantamine+rivastigmine",NA,36
"memantine+rivastigmine",NA,NA,NA,70
"donepezil","donepezil+galantamine+memantine",NA,NA,5
"donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,NA,20
"donepezil","donepezil+rivastigmine","donepezil+galantamine+rivastigmine",NA,34
"rivastigmine","donepezil+rivastigmine","donepezil+galantamine+rivastigmine",NA,11
"donepezil","donepezil+rivastigmine","donepezil+galantamine+rivastigmine","donepezil+galantamine+memantine+rivastigmine",9
"donepezil","donepezil+memantine+rivastigmine",NA,NA,5
"memantine","galantamine+memantine",NA,NA,14
"galantamine","galantamine+memantine","galantamine+memantine+rivastigmine",NA,8
"donepezil+rivastigmine","donepezil+galantamine+rivastigmine",NA,NA,5
"galantamine+rivastigmine",NA,NA,NA,11
"donepezil","donepezil+memantine","donepezil+galantamine+memantine",NA,7
"rivastigmine","donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,17
"rivastigmine","galantamine+rivastigmine","galantamine+memantine+rivastigmine",NA,11
"donepezil+galantamine","donepezil+galantamine+rivastigmine",NA,NA,12
"galantamine","galantamine+rivastigmine","donepezil+galantamine+rivastigmine",NA,9
"rivastigmine","donepezil+memantine+rivastigmine",NA,NA,5
"donepezil","donepezil+galantamine","donepezil+galantamine+rivastigmine","donepezil+galantamine+memantine+rivastigmine",7
